[240.4, -102.1, 99.6, 89.91, 0.15, 134.29]
[240.5, -59.2, 101.8, 89.86, -0.32, 45.43]
[240.1, -59.0, 99.2, 90.22, 0.26, 60.02]
[238.6, -59.6, 99.9, 90.22, 0.13, 75.05]
[241.8, -58.6, 102.6, 89.13, -0.14, 90.08]
[240.3, -60.4, 97.9, 90.17, -0.03, 104.67]
[240.3, -59.8, 101.2, 89.62, 0.22, 119.96]
[238.3, -58.6, 95.4, 90.84, -0.92, 134.99]
[242.0, -19.7, 102.5, 89.76, -1.2, 44.91]
[239.7, -19.6, 99.8, 90.04, 0.07, 59.85]
[240.3, -18.8, 102.1, 89.68, -0.3, 75.05]
[238.9, -21.6, 100.1, 90.08, 0.03, 89.56]
[240.3, -18.9, 100.7, 89.64, -0.01, 105.02]
[239.0, -21.2, 97.3, 90.58, -0.1, 119.53]
[239.2, -21.3, 99.5, 90.13, -0.02, 134.47]
[242.8, 20.8, 102.9, 89.96, -1.66, 44.91]
[239.8, 21.6, 98.5, 90.07, 0.25, 60.29]
[240.7, 20.9, 102.5, 89.46, -0.8, 74.79]
[238.8, 20.2, 98.5, 90.35, 0.26, 90.08]
[239.7, 18.2, 100.1, 89.83, -0.04, 104.41]
[240.1, 20.9, 100.7, 89.91, 0.0, 119.97]
[238.9, 20.7, 97.7, 90.47, -0.22, 135.08]
[242.5, 61.9, 102.7, 90.18, -1.57, 45.17]
[238.9, 58.8, 99.1, 90.08, 0.6, 59.76]
[240.5, 61.9, 102.6, 89.64, -0.8, 74.97]
[239.7, 59.5, 98.1, 90.23, 0.25, 89.91]
[238.7, 58.1, 98.9, 90.46, 0.24, 104.76]
[240.2, 60.2, 101.5, 89.47, -0.06, 119.79]
[239.2, 60.5, 97.2, 90.76, -0.18, 134.99]
[241.7, 100.1, 101.9, 90.23, -1.02, 45.08]
[239.9, 99.6, 99.4, 90.0, 0.26, 59.67]
[239.0, 98.6, 100.2, 90.07, 0.25, 74.88]
[240.7, 101.9, 103.8, 89.3, -1.01, 90.18]
[240.3, 99.2, 102.0, 89.57, -0.31, 104.85]
[240.3, 99.3, 102.1, 89.49, -0.15, 119.61]
[240.6, 98.9, 98.7, 90.08, 0.0, 134.64]
[261.2, -98.3, 101.7, 89.63, -0.49, 45.52]
[260.8, -98.9, 98.7, 90.07, 0.05, 60.11]
[258.8, -100.6, 101.9, 89.91, -0.02, 74.61]
[259.8, -100.1, 100.4, 89.73, 0.01, 89.99]
[259.3, -101.4, 100.6, 90.08, -0.03, 104.41]
[258.9, -100.9, 97.8, 90.39, -0.35, 119.53]
[260.8, -101.2, 100.4, 89.73, 0.45, 134.64]
[260.1, -61.3, 101.9, 89.81, -0.39, 45.08]
[260.1, -58.5, 99.2, 90.0, 0.0, 60.02]
[259.4, -61.2, 99.5, 90.0, 0.0, 74.61]
[260.3, -60.4, 102.6, 89.3, -0.1, 89.73]
[260.0, -59.1, 100.9, 89.74, 0.05, 105.02]
[259.9, -60.7, 99.4, 90.0, 0.08, 119.61]
[258.8, -60.5, 97.9, 90.34, -0.31, 134.82]
[263.4, -19.5, 103.5, 89.56, -1.7, 45.0]
[259.8, -19.9, 99.4, 90.13, 0.22, 59.85]
[259.9, -20.1, 99.0, 90.13, 0.11, 74.7]
[258.7, -20.6, 101.4, 90.08, 0.03, 89.73]
[260.6, -20.3, 100.1, 89.64, 0.0, 104.76]
[260.0, -19.3, 99.9, 90.08, -0.02, 119.88]
